17:30 Saturday, December 08, 2018
wigging		нагоняй, нахлобучка, разнос [ 'wɪgɪŋ ]
scoff		насмехаться над,осмеивать, поднимать на смех  насмешка, издёвка жадно есть, лопать, хватать, грабить  еда, жратва [ skɔf ]
fitfully		судорожно; порывисто, прерывисто, толчками, урывками, лихорадочно [ 'fɪtf(ə)lɪ ], [ -fulɪ ]
clammy		  холодный и влажный на ощупь вязкий, тягучий   клейкий, липкий, вязкий вялый, неторопливый, медлительный неприветливый, лишённый человеческой теплоты [ 'klæmɪ ]
endure		вынести, вытерпеть; выдержать   длиться; продолжаться, тянуться терпеть, сносить [ ɪn'djuə ], [ en- ] 
skive		увиливание, уклонение  (от)халтурное выполнение работы =  skive off   помчаться стрелой; ринуться; рвануться, алмазный гранильный круг стачивать  [ skaɪv ]
indignation		 негодование, возмущение Syn:  anger [ ˌɪndɪg'neɪʃ(ə)n ] 
wisp		пучок, жгут, клок клочок, обрывок; след, остаток, фрагмент метёлка   худенький, хрупкий человек [ wɪsp ]
bog		  болото, трясина  груб. сортир нечто запутанное смертный ужас; источник страха увязать, тонуть в трясине не мочь разобраться в ситуации, запутаться [ bɔg ]
despair		отчаяние; упадок духа; безнадёжность, безысходность   причина отчаяния   ( despair of)   падать духом, отчаиваться, терять надежду [ dɪ'speə ]
upturn		подъём, рост переворот, потрясение переворачивать направлять вверх [ 'ʌptɜːn ]
persist		упорствовать, настойчиво, упорно продолжать удерживаться, сохраняться, продолжать существовать; устоять [ pə'sɪst ] 
opaline		опалин матовое стекло опаловый цвет [ 'əup(ə)liːn ], [ -laɪn ]
flossy		шелковистый [ 'flɔsɪ ]
humpbacked		 горбатый [ 'hʌmpbækt ]
festive		 весёлый, праздничный, радостный [ 'festɪv ] 
flourish		цвести, расцветать; пышно расти процветать, преуспевать делать росчерк пером, цветисто выражаться  размахивать оружием в знак триумфа   хвастаться, рисоваться;  показные движения, салют  (перед поединком)расцвет, высшая точка развития [ 'flʌrɪʃ ]
wrench		тоска, боль  мучить, причинять страдание, боль wrench off / away   вывёртывать, вырывать   искажать  (факты) гаечный ключ [ ren(t)ʃ ]
bequeath		  завещать объявлять; говорить, заявлять; обозначать оплакивать, скорбеть [ bɪ'kwiːð ]
got into a spot of bother with		попасть в переделку попасть в беду []
haul		  тащить, тянуть   везти, перевозить; транспортировать;волочить; haul up вызывать в суд арестовывать round / to   меняться, менять направление волочение, тяга перевозка, транспортировка добыча, трофеи [ hɔːl ] 
wind up		заводить, приводить в возбуждённое состояние подтягивать  (дисциплину)  доводить до конца   уладить, разрешить  (вопрос)    ликвидировать []
prong		остриё  (зуба, рога, скалы)  зубец  направление рукав реки  штырь,  член (муж),переворачивать вилами прокалывать, протыкать[ prɔŋ ]
purveyor		поставщик Purveyor to their Majesties  — поставщик их величеств [ pə'veɪə ], [ pɜː'- ]
mischief		вред; повреждение; убытки, ущерб   беда, зло озорство, проказы источник огорчений, источник неприятностей бедокур, озорник [ 'mɪsʧɪf ]
marauder		 мародёр, грабитель [ mə'rɔːdə ]
astound		изумлять, поражать [ ə'staund ]
study		изучение, исследование   рабочий кабинет глубокая задумчивость; мечтательность, фантазии набросок, эскиз, этюд намерение, цель   изучать, исследовать заботиться стремиться [ 'stʌdɪ ]
hump		  быстро двигаться, мчаться  бугорок, кочка; пригорок горный хребет,   решающий, критический момент; тоска, плохое настроение,   горбить, сутулить  (спину)  напрягаться; действовать энергично нагонять тоску; трахаться [ hʌmp ] 
tireless		 неутомимый, неустанный [ 'taɪələs ]
uncanny		сверхъестественный, необъяснимый, странный опасный, ненадёжный [ ʌn'kænɪ ]
impersonation		  подражание, пародирование, передразнивание воплощение, олицетворение [ ɪmˌpɜːs(ə)'neɪʃ(ə)n ]
burrow		нора червоточина рыть нору, ход прятать; погружать; уткнуть прятаться; погружаться; рыться, копаться [ 'bɜːrəu ]
trapdoor		люк, опускная дверь лазейка  (слабое место программы)  вентиляционная дверь [ ˌtræp'dɔː ]
dodge		прятаться увиливать, хитрить, ловчить, маневрировать обман, уловка, хитрость; проделка обманное движение, финт   увёртываться, уклоняться  [ dɔʤ ]
cellar		подвал; погреб запас вин, коллекция вин   хранить в подвале,скрывать, утаивать  [ 'selə ] 
mullion		 средник  (окна или двери)  устанавливать средник; разделять средником [ 'mʌlɪən ]
thatched cottage		бунгало, thatched roof  — соломенная крыша [ θætʃt ]
crisp		рассыпчатый, хрустящий жёсткий, твёрдый ясно очерченный, выраженный;решительный, завитой, кудрявый хрустеть   покрываться рябью завиваться,хрустящий картофель, чипсы [ krɪsp ]
wreath		  венок, гирлянда завиток, кольцо  (дыма)  шотл. сугроб [ riːθ ]
curvy		изогнутый, кривой [ 'kɜːvɪ ]
A curvy sort of woman with a pretty face was serving a bunch of rowdy warlocks up at the bar.
tankard		высокая пивная кружка  (часто с крышкой)  диал. колокольчик овцы [ 'tæŋkəd ]
flurry		  шквал; сильный порыв ветра  волновать; будоражить; вызывать возбуждение, суету [ 'flʌrɪ ]
snowflake		снежинка   snowflake curve  —мат. контур снежинки [ 'snəufleɪk ]
gilly		желтофиоль (садовая) [ 'ʤɪlɪ ]
mull		подогревать вино или пиво с пряностями мягкий гумус сорт тонкого муслина (over)   обдумывать, размышлять [ mʌl ]
mead		медовуха (mulled mead) луг  Syn: meadow  [ miːd ]
ta		межд.; брит.; разг. спасибо  Syn: thank-you, thankee [ 'θæŋkɪ ], thanks [ tɑː ]
currant		  смородина    коринка; сабза  (сорта бессемянного изюма)  [ 'kʌr(ə)nt ]
rum		ром спиртной напиток странный, чудной, подозрительный  [ rʌm ] 
neck of the woods		 местность []
eavesdropper		подслушивающий, соглядатай [ 'iːvzˌdrɔpə ]
demur		  возражение колебание, сомнение колебаться, не решаться; сомневаться возражать, протестовать [ dɪ'mɜː ]
mead		 медовуха  луг  [ miːd ] Syn:  meadow  луг, луговина; низина, пойменная земля [ 'medəu ] 
ringleader		 зачинщик, вожак, главарь [ 'rɪŋˌliːdə ] 
torment		мучить; причинять боль досаждать, изводить, раздражать искажать мука, мучение  муки ада источник мучений орудие пытки [ 'tɔːment ]
tireless		неутомимый, неустанный  Syn:  indefatigable, untiring [ 'taɪələs ] 
henceforth		с этого времени, впредь [ ˌhen(t)s'fɔːθ ] 
turncoat		ренегат; перебежчик [ 'tɜːnkəut ] 
worship		  поклоняться, почитать благоговеть, боготворить посещать церковь поклонение, почитание вероисповедание, богослужение, культ [ 'wɜːʃɪp ]
harp		занудствовать, завести волынку надоедливо твердить о,  арфа губная гармоника [ hɑːp ]
head cold		 насморк []
sewer		сточная труба; коллектор, канализационная труба  обеспечивать, снабжать канализацией швец; швея [ 'səuə ]
evasively		 уклончиво [ ɪ'veɪsɪvlɪ ]
dint		след, вмятина, отпечаток оставлять след, вмятину, отпечаток [ dɪnt ]
rehearsed		 отрепетированный [ rɪ'hɜːst ]
stricken		  поражённый  (болезнью, горем)   раненый, больной [ 'strɪk(ə)n ] 
interject		 вставлять замечания; мимоходом замечать, прерывать [ ˌɪntə'ʤekt ]
luxuriously		с наслаждением роскошно, пышно, богато; превосходно [ lʌg'ʒu(ə)rɪəslɪ ], [ 'zjuər- ] 
