Dutchman	  нидерландец; голландец немец голландское судно [ 'dʌʧmən ]
Polyphemus	"Polyphemus is the one-eyed giant son of Poseidon and Thoosa in Greek mythology, one of the Cyclopes described in Homer's Odyssey. His name means ""abounding in songs and legends"" []"
acclaim	 шумное приветствие громко аплодировать; шумно приветствовать   заявлять, объявлять, провозглашать [ ə'kleɪm ]
affair	(s)дела, вопросы происшествие, инцидент, дело   событие, мероприятие; явление штука, штуковина роман, любовная связь, амур(ы)[ ə'feə ] 
affinity	  близость, родство влечение, тяга свойство, родство по браку   сходство, похожесть биол. взаимодействие между антигеном и антителом [ ə'fɪnətɪ ] 
aid	аппарат, устройство   deaf / hearing aid  — слуховой аппарат -s налоги вспомогательные средства; пособия ассистент, помощник помощь, поддержка помогать [ eɪd ] 
alike	точно так же, подобно, одинаково, похоже одинаковый; подобный, похожий [ ə'laɪk ] 
ancestor	прародитель, предок прототип, прообраз [ 'ænsəstə ]
aptitude	  пригодность; уместность склонность сообразительность, способность  Syn: genius [ 'æptɪt(j)uːd ]
arrangement	приведение в порядок; расположение; классификация;  договорённость, соглашение урегулирование переделка, переложение компоновка, составление; расстановка аранжировка монтаж [ ə'reɪnʤmənt ]
as opposed to	в отличие от  чего-л. , в противоположность  чему-л.  []
assumption	ринятие на себя  (обязанностей) , вступление  (в должность)    принятие на себя долгов предъявление прав; захватпритворство высокомерие, надменность, заносчивость [ ə'sʌmpʃ(ə)n ]
attributable	 приписываемый  (чему-л.) , относимый  (к чему-л.)  [ ə'trɪbjutəb(ə)l ]
authentic	аутентичный, истинный, настоящий, подлинный, авторитетный, надёжный верный, достоверный [ ɔː'θentɪk ]
blaze	гореть ярким пламенем   сверкать, сиять вспыхнуть яркий огонь, пламя    отметина, делать отметки на деревьях; разглашать, обнародовать [ bleɪz ]
bluebird	 синешейка  (певчая птица)  [ 'bluːbɜːd ]
bounce	прыжок; отскок упругость хвастовство; преувеличение; хвастливая ложь подпрыгивать; отскакивать увольнять  , выгонять ; отвергать(поклонника) устраивать кому-л. разнос вламываться бах  (неожиданно, вдруг)  [ baun(t)s ] 
burgeon	пускать почки, давать ростки, распускаться out -пышно расти, разрастаться , бутон; почка; росток [ 'bɜːʤ(ə)n ]
captivity	плен; пленение, захват [ kæp'tɪvətɪ ] 
cardboard	картон картонный адуманный, неестественный, ненатуральный, ходульный  (о литературном персонаже)  [ 'kɑːdbɔːd ] 
cautious	осторожный, осмотрительный; предусмотрительный [ 'kɔːʃəs ]
chairman	председатель Syn:  president [ 'ʧeəmən ]
chic	шик, изящество, элегантность  модный, нарядный, роскошный, шикарный chic sale  — амер.; эвф. уборная (во дворе)  [ ʃiːk ]
chiefly	 главным образом, особенно, в основном [ 'ʧiːflɪ ] 
coelacanth	латимерия a large, bony marine fish with a three-lobed tail fin and fleshy pectoral fins.[sēləˌkanTH]
coin	монета чеканить; штамповать измышлять, выдумывать; замышлять создавать неологизмы [ kɔɪn ]
